antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.041501976284584984,0.03162055335968379,0.013899868247694335,0.3349206349206349,10.59186507936508,1.0,0.012587552792055284,1.456035922156084,0.9447989446425954,0.23470522803114574,0.31320375769355363,0.38725198412698414
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.03162055335968379,0.041501976284584984,0.013899868247694335,0.4395833333333334,10.59186507936508,1.0,0.012587552792055284,1.7103310460349417,0.9351581390850179,0.23470522803114574,0.4153178694158076,0.38725198412698414
frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.03359683794466403,0.041501976284584984,0.014097496706192359,0.4196078431372549,10.110550887021475,1.0,0.012703161534575867,1.651466189509668,0.9324197771534507,0.23110151187904965,0.3944774610875278,0.3796451914098973
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),0.041501976284584984,0.03359683794466403,0.014097496706192359,0.3396825396825397,10.110550887021475,1.0,0.012703161534575867,1.4635432502280328,0.9401098371712111,0.23110151187904965,0.3167267179537118,0.3796451914098973
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.042687747035573126,0.041501976284584984,0.01758893280632411,0.412037037037037,9.928130511463843,1.0,0.01581730694121139,1.6302013631695247,0.9393759452212396,0.26409495548961415,0.3865788468881252,0.41792328042328036
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.041501976284584984,0.042687747035573126,0.01758893280632411,0.42380952380952375,9.928130511463843,1.0,0.01581730694121139,1.661451017541567,0.9382138306498319,0.26409495548961415,0.3981164720223349,0.41792328042328036
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.041501976284584984,0.06534914361001318,0.020750988142292492,0.5,7.651209677419355,1.0,0.018038869533971786,1.8693017127799736,0.9069415807560137,0.2410099464422341,0.46504087961657736,0.4087701612903226
frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.06534914361001318,0.041501976284584984,0.020750988142292492,0.3175403225806452,7.651209677419355,1.0,0.018038869533971786,1.4044756861531638,0.9300817592331547,0.2410099464422341,0.2879905221150649,0.4087701612903226
frozenset({'PACK OF 72 SKULL CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.032279314888010543,0.041501976284584984,0.0113965744400527,0.3530612244897959,8.507094266277939,1.0,0.010056919079087836,1.4815900051121558,0.9118861086736681,0.18268215417106654,0.3250494424573953,0.3138321995464852
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 SKULL CAKE CASES'}),0.041501976284584984,0.032279314888010543,0.0113965744400527,0.27460317460317457,8.507094266277939,1.0,0.010056919079087836,1.3340569619705762,0.9206602705440676,0.18268215417106654,0.2504068203183247,0.3138321995464852
frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.03359683794466403,0.03162055335968379,0.012121212121212121,0.3607843137254902,11.409803921568628,1.0,0.011058861514266223,1.5149494410630715,0.9440739752822975,0.22828784119106701,0.3399119647859144,0.3720588235294118
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),0.03162055335968379,0.03359683794466403,0.012121212121212121,0.38333333333333336,11.409803921568628,1.0,0.011058861514266223,1.5671402627924367,0.9421472937000888,0.22828784119106701,0.3618950238582141,0.3720588235294118
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.042687747035573126,0.03162055335968379,0.011462450592885375,0.2685185185185185,8.491898148148147,1.0,0.010112640409942352,1.3238605093310651,0.9215809106181839,0.18238993710691825,0.2446334089191232,0.3155092592592592
